Process ID	Country/Ocean	State/Province
DSTRI057-06	Canada	Manitoba
DSTRI058-06	Canada	Manitoba
DSTRI059-06	Canada	Manitoba
DSTRI060-06	Canada	Manitoba
DSTRI061-06	Canada	Manitoba
DSTRI062-06	Canada	Manitoba
DSTRI064-06	Canada	Manitoba
DSTRI065-06	Canada	Manitoba
DSTRI067-06	Canada	Manitoba
DSTRI068-06	Canada	Manitoba
DSTRI069-06	Canada	Manitoba
DSTRI070-06	Canada	Manitoba
DSTRI073-06	Canada	Manitoba
DSTRI074-06	Canada	Manitoba
DSTRI075-06	Canada	Manitoba
DSTRI076-06	Canada	Manitoba
DSTRI077-06	Canada	Manitoba
DSTRI078-06	Canada	Manitoba
DSTRI079-06	Canada	Manitoba
DSTRI080-06	Canada	Manitoba
DSTRI081-06	Canada	Manitoba
DSTRI082-06	Canada	Manitoba
DSTRI083-06	Canada	Manitoba
DSTRI084-06	Canada	Manitoba
DSTRI085-06	Canada	Manitoba
DSTRI086-06	Canada	Manitoba
DSTRI087-06	Canada	Manitoba
DSTRI088-06	Canada	Manitoba
DSTRI089-06	Canada	Manitoba
DSTRI090-06	Canada	Manitoba
DSTRI091-06	Canada	Manitoba
DSTRI092-06	Canada	Manitoba
DSTRI093-06	Canada	Manitoba
DSTRI094-06	Canada	Manitoba
DSTRI096-06	Canada	Manitoba
DSTRI097-06	Canada	Manitoba
DSTRI098-06	Canada	Manitoba
DSTRI099-06	Canada	Manitoba
DSTRI100-06	Canada	Manitoba
DSTRI101-06	Canada	Manitoba
DSTRI102-06	Canada	Manitoba
DSTRI103-06	Canada	Manitoba
DSTRI104-06	Canada	Manitoba
DSTRI105-06	Canada	Manitoba
DSTRI106-06	Canada	Manitoba
DSTRI107-06	Canada	Manitoba
DSTRI109-06	Canada	Manitoba
DSTRI110-06	Canada	Manitoba
DSTRI111-06	Canada	Manitoba
DSTRI112-06	Canada	Manitoba
DSTRI113-06	Canada	Manitoba
DSTRI114-06	Canada	Manitoba
DSTRI115-06	Canada	Manitoba
DSTRI116-06	Canada	Manitoba
DSTRI117-06	Canada	Manitoba
DSTRI118-06	Canada	Manitoba
DSTRI119-06	Canada	Manitoba
DSTRI120-06	Canada	Manitoba
DSTRI121-06	Canada	Manitoba
DSTRI122-06	Canada	Manitoba
DSTRI123-06	Canada	Manitoba
DSTRI124-06	Canada	Manitoba
DSTRI125-06	Canada	Manitoba
DSTRI126-06	Canada	Manitoba
DSTRI127-06	Canada	Manitoba
DSTRI128-06	Canada	Manitoba
DSTRI129-06	Canada	Manitoba
DSTRI130-06	Canada	Manitoba
DSTRI131-06	Canada	Manitoba
DSTRI132-06	Canada	Manitoba
DSTRI133-06	Canada	Manitoba
DSTRI134-06	Canada	Manitoba
DSTRI135-06	Canada	Manitoba
DSTRI136-06	Canada	Manitoba
DSTRI137-06	Canada	Manitoba
DSTRI138-06	Canada	Manitoba
DSTRI139-06	Canada	Manitoba
DSTRI140-06	Canada	Manitoba
DSTRI141-06	Canada	Manitoba
DSTRI142-06	Canada	Manitoba
DSTRI143-06	Canada	Manitoba
DSTRI144-06	Canada	Manitoba
DSTRI145-06	Canada	Manitoba
DSTRI146-06	Canada	Manitoba
DSTRI147-06	Canada	Manitoba
DSTRI148-06	Canada	Manitoba
DSTRI149-06	Canada	Manitoba
DSTRI150-06	Canada	Manitoba
DSTRI151-06	Canada	Manitoba
DSTRI152-06	Canada	Manitoba
DSTRI153-06	Canada	Manitoba
GBMH0344-06		
GBMH0345-06		
GBMH0351-06		
GBMH0358-06		
GBMH0381-06		
GBMH0384-06		
GBMH0397-06		
GBMH0402-06		
GBMH0710-06		
GBMH0711-06		
GBMH0712-06		
GBMH0713-06		
GBMH0714-06		
GBMH0715-06		
GBMH0716-06		
GBMH0717-06		
GBMH0718-06		
GBMH0719-06		
GBMH0720-06		
GBMH0721-06		
GBMH0722-06		
GBMH0723-06		
GBMH0724-06		
GBMH0725-06		
GBMH0726-06		
GBMH0727-06		
GBMH0728-06		
GBMH0729-06		
GBMH0730-06		
GBMH0731-06		
GBMH0732-06		
GBMH0733-06		
GBMH0734-06		
GBMH0735-06		
GBMH0736-06		
GBMH0737-06		
GBMH0738-06		
GBMH0739-06		
GBMH0740-06		
GBMH0741-06		
GBMH0742-06		
GBMH0743-06		
GBMH0744-06		
GBMH0745-06		
GBMH0746-06		
GBMH0747-06		
GBMH0748-06		
GBMH0749-06		
GBMH0750-06		
GBMH0751-06		
GBMH0752-06		
GBMH0753-06		
GBMH0754-06		
GBMH0755-06		
GBMH0756-06		
GBMH0757-06		
GBMH0758-06		
GBMH0759-06		
GBMH0760-06		
GBMH0761-06		
GBMH0762-06		
GBMH0763-06		
GBMH0764-06		
GBMH0765-06		
GBMH0792-06	China	Anhui
GBMH0793-06	China	Anhui
GBMH0794-06	China	Anhui
GBMH0795-06	China	Anhui
GBMH0796-06	China	Anhui
GBMH0797-06	China	Anhui
GBMH0798-06	China	Anhui
GBMH0799-06	China	Anhui
GBMH0917-06	China	Anhui
GBMH0918-06	China	Anhui
GBMH0919-06	China	Anhui
GBMH0920-06	China	Anhui
GBMH1708-06		
GBMH1709-06		
GBMH1710-06		
GBMH1711-06		
GBMH1712-06		
GBMH1713-06		
GBMH1714-06		
GBMH1715-06		
GBMH1716-06		
GBMH1717-06		
GBMH1718-06		
GBMH1719-06		
GBMH1720-06		
GBMH1721-06		
GBMH1722-06		
GBMH1723-06		
GBMH1724-06		
GBMH1725-06		
GBMH1726-06		
GBMH1727-06		
GBMH1728-06		
GBMH1729-06		
GBMH1730-06		
GBMH1731-06		
GBMH1732-06		
GBMH1733-06		
GBMH1734-06		
GBMH1735-06		
GBMH1736-06		
GBMH1737-06		
GBMH1738-06		
GBMH1739-06		
GBMH1740-06		
GBMH1741-06		
GBMH1742-06		
GBMH1743-06		
GBMH1744-06		
GBMH1745-06		
GBMH1746-06		
GBMH1747-06		
GBMH1748-06		
GBMH1749-06		
GBMH1750-06		
GBMH1751-06		
GBMH1752-06		
GBMH1753-06		
GBMH1754-06		
GBMH1755-06		
GBMH1756-06		
GBMH1757-06		
GBMH1758-06		
GBMH1759-06		
GBMH1760-06		
GBMH1761-06		
GBMH1762-06		
GBMH1763-06		
GBMH1764-06		
GBMH1765-06		
GBMH1766-06		
GBMH1767-06		
GBMH1768-06		
GBMH1769-06		
GBMH1770-06		
GBMH1771-06		
GBMH1772-06		
GBMH1773-06		
GBMH1774-06		
GBMH1775-06		
GBMH1776-06		
MHTRI001-06	Canada	Manitoba
MHTRI002-06	Canada	Manitoba
MHTRI003-06	Canada	Manitoba
MHTRI004-06	Canada	Manitoba
MHTRI005-06	Canada	Manitoba
MHTRI006-06	Canada	Manitoba
MHTRI007-06	Canada	Manitoba
MHTRI008-06	Canada	Manitoba
MHTRI009-06	Canada	Manitoba
MHTRI010-06	Canada	Manitoba
MHTRI011-06	Canada	Manitoba
MHTRI012-06	Canada	Manitoba
MHTRI013-06	Canada	Manitoba
MHTRI014-06	Canada	Manitoba
MHTRI015-06	Canada	Manitoba
MHTRI016-06	Canada	Manitoba
MHTRI017-06	Canada	Manitoba
MHTRI018-06	Canada	Manitoba
MHTRI019-06	Canada	Manitoba
MHTRI020-06	Canada	Manitoba
MHTRI021-06	Canada	Manitoba
MHTRI022-06	Canada	Manitoba
MHTRI023-06	Canada	Manitoba
MHTRI024-06	Canada	Manitoba
MHTRI025-06	Canada	Manitoba
MHTRI026-06	Canada	Manitoba
MHTRI027-06	Canada	Manitoba
MHTRI029-06	Canada	Manitoba
MHTRI030-06	Canada	Manitoba
MHTRI031-06	Canada	Manitoba
MHTRI032-06	Canada	Manitoba
MHTRI034-06	Canada	Manitoba
MHTRI035-06	Canada	Manitoba
MHTRI036-06	Canada	Manitoba
MHTRI038-06	Canada	Manitoba
MHTRI039-06	Canada	Manitoba
MHTRI040-06	Canada	Manitoba
MHTRI041-06	Canada	Manitoba
MHTRI042-06	Canada	Manitoba
MHTRI043-06	Canada	Manitoba
MHTRI044-06	Canada	Manitoba
MHTRI045-06	Canada	Manitoba
MHTRI046-06	Canada	Manitoba
MHTRI047-06	Canada	Manitoba
MHTRI048-06	Canada	Manitoba
MHTRI049-06	Canada	Manitoba
MHTRI050-06	Canada	Manitoba
MHTRI051-06	Canada	Manitoba
MHTRI052-06	Canada	Manitoba
MHTRI053-06	Canada	Manitoba
MHTRI054-06	Canada	Manitoba
MHTRI055-06	Canada	Manitoba
MHTRI056-06	Canada	Manitoba
MHTRI057-06	Canada	Manitoba
MHTRI058-06	Canada	Manitoba
MHTRI059-06	Canada	Manitoba
MHTRI060-06	Canada	Manitoba
MHTRI061-06	Canada	Manitoba
MHTRI062-06	Canada	Manitoba
MHTRI063-06	Canada	Manitoba
MHTRI064-06	Canada	Manitoba
MHTRI065-06	Canada	Manitoba
MHTRI066-06	Canada	Manitoba
MHTRI067-06	Canada	Manitoba
MHTRI068-06	Canada	Manitoba
MHTRI069-06	Canada	Manitoba
MHTRI070-06	Canada	Manitoba
MHTRI071-06	Canada	Manitoba
