10OFCAD-298 Chimarra beckeri
RBCAD-0646 Chimarra barinita
RBCAD-2424 Chimarra straminea
RBCAD-0799 Wormaldia gabriella
08JPCAD-139 Hydrobiosella stenocerca
KKCAD-0029 Cryptobiosella hastata
RBCAD-1452 Leptonema salvini
08JPCAD-419 Baliomorpha banksi
KKCAD-0255 Amphipsyche proluta
DRHd9c Homoplectra doringa
HM09Da8a Diplectrona atra
KKCAD-0005 Smicridea turrialbana
UMSP000116448 Asmicridea edwardsii
KKCAD-0288 Sciadorus acutus
08MBCAD-0509 Potamyia flava
RBCAD-1038 Hydropsyche occidentalis
RBCAD-1328 Hydropsyche bronta
08JPCAD-544 Hydropsyche colonica
NZT138 Hydropsyche fimbriata
08OFCAD-0172 Arctopsyche grandis
RBCAD-1210 Parapsyche elsis
